rrbg_real
388.2
286.5
266.2
258.4
391.1
284.0
275.0
271.6
401.5
299.9
284.1
282.8
408.2
303.8
288.0
324.6
410.1
317.6
307.2
320.7
448.5
335.1
348.4
366.7
511.5
376.9
362.7
365.0
510.2
386.0
373.6
373.6
524.6
393.5
378.8
424.1
516.2
382.9
357.6
370.9
491.5
366.9
348.7
358.0
358.9
188.6
232.4
232.9
375.7
313.6
307.1
312.0
428.5
312.1
299.5
299.7
426.1
301.0
278.0
